Word,Conc
义气,3.71875
驿站,2.212121
有心,3.757576
越狱,2.0
早报,1.787879
质问,3.151515
赘言,3.357143
钻探,2.666667
奥运,2.121212
搬运,1.939394
宝座,2.424242
抱怨,3.545455
悲剧,3.757576
便衣,2.666667
餐桌,1.272727
侧重,3.757576
差额,3.032258
孱弱,3.59375
沉痛,3.69697
代理,2.939394
弹性,3.424242
登录,2.25
地牢,2.0
递补,3.428571
肚脐,1.393939
队形,2.03125
防守,2.727273
分心,3.363636
干洗,2.0
攻守,3.060606
鼓掌,1.787879
刮风,1.848485
官长,2.233333
管乐,2.181818
广播,1.909091
鬼混,4.0
囫囵,3.935484
花蜜,1.939394
化石,1.575758
环保,2.969697
急救,2.151515
忌日,2.21875
寄托,4.0
家庭,2.181818
尖端,3.15625
检讨,2.787879
见笑,3.727273
缴械,2.636364
戒毒,1.909091
紧急,3.21875
进取,3.484848
禁毒,2.333333
境界,4.25
纠缠,3.545455
久远,3.30303
臼齿,1.866667
剧本,1.909091
绝望,3.575758
犒劳,3.212121
可靠,3.363636
可取,3.258065
空隙,2.84375
来源,3.151515
蓝图,3.5625
寥寥,4.030303
镣铐,1.939394
轮奸,2.0
屡次,3.193548
麻烦,3.28125
麦田,1.545455
卖力,3.272727
茂密,3.151515
眉笔,1.333333
门徒,2.375
迷惘,4.16129
免税,2.151515
拇指,1.272727
能量,3.636364
念书,1.939394
皮蛋,1.333333
平民,2.03125
凄凉,3.8125
期望,3.939394
起初,3.375
抢救,2.1875
清贫,3.151515
丘脑,2.714286
劝导,3.272727
劝告,3.090909
瘸腿,1.636364
认真,3.30303
日出,1.666667
冗长,3.6875
升值,3.0
生活,3.272727
圣灵,4.3
圣言,3.733333
试探,3.393939
赎罪,3.34375
水手,1.727273
瞬间,3.666667
叹息,2.787879
贴现,3.074074
伟大,3.848485
屋子,1.515152
熄灭,2.424242
鲜嫩,2.969697
闲话,2.939394
详尽,3.30303
向上,2.71875
胸襟,3.84375
雄辩,3.1875
雄姿,3.454545
巡回,3.181818
训斥,2.848485
延误,3.09375
研发,3.0625
仰卧,1.757576
野蛮,3.454545
衣架,1.121212
疫情,2.606061
婴儿,1.242424
影子,2.212121
永眠,3.30303
诱惑,3.727273
展示,2.909091
正职,2.34375
支持,2.969697
职员,1.727273
重婚,2.060606
诸侯,2.393939
哀号,2.777778
鹌鹑,1.333333
版本,2.777778
伴奏,2.269231
必修,2.423077
搏斗,1.777778
不便,3.703704
裁缝,1.481481
苍蝇,1.153846
茶几,1.333333
蝉鸣,1.666667
抄家,2.615385
赤脚,1.740741
抽象,4.423077
除非,3.538462
船员,1.481481
大人,2.555556
盗版,2.653846
登岸,2.269231
堤岸,1.923077
电信,2.576923
钓鱼,1.481481
叠加,3.0
洞察,3.269231
对待,3.48
多嘴,3.0
耳朵,1.222222
发福,2.5
废墟,2.111111
高层,2.84
高攀,3.185185
根本,3.791667
购入,2.592593
寡言,3.076923
滚烫,2.291667
国际,3.037037
行政,2.962963
航空,2.148148
慌张,2.925926
机器,2.111111
纪录,2.518519
纪律,2.851852
加入,3.115385
具体,3.115385
刻板,3.222222
客气,3.0
苦力,2.592593
亏待,3.384615
缆车,1.592593
黎民,2.625
历法,2.814815
立法,2.666667
痢疾,2.333333
林木,1.740741
琉璃,1.846154
名流,3.555556
凝固,2.555556
奴婢,2.185185
女巫,1.961538
盘算,3.115385
滂沱,3.68
嫖客,1.777778
票数,2.185185
平衡,2.888889
剖开,2.576923
乞食,2.384615
前进,2.37037
腔调,3.0
强盗,1.692308
亲近,3.111111
禽兽,2.692308
清点,3.074074
蚯蚓,1.333333
扰乱,3.222222
设法,3.37037
摄政,3.230769
声誉,3.333333
湿地,2.0
誓约,3.222222
手表,1.259259
私立,2.76
岁数,1.962963
贪心,3.111111
探究,3.703704
恬静,3.407407
填鸭,3.75
外向,3.615385
王储,2.307692
问题,3.115385
喜乐,2.666667
细小,2.777778
相识,3.37037
硝酸,1.62963
斜视,2.481481
星际,3.192308
幸好,3.269231
雪莱,2.904762
巡警,1.666667
药丸,1.592593
野人,2.074074
宜人,3.703704
译名,3.230769
银幕,2.259259
银牌,1.62963
鹦鹉,1.222222
幽会,3.074074
淤血,2.518519
欲望,3.703704
约数,3.48
阅兵,1.888889
栈道,2.185185
掌权,3.333333
丈夫,1.461538
振荡,3.074074
整数,2.37037
脂肪,1.923077
直播,1.851852
钟表,1.259259
